dataset,generating_model,attribution_method,judging_model,fill_strategy,occlusion_level,mean_accuracy
imagenet,independent,dino+u2net_sum,vgg16,mean,75.0,0.408
imagenet,independent,dino+u2net_sum,vgg16,mean,80.0,0.308
imagenet,independent,dino+u2net_sum,vgg16,mean,85.0,0.213
imagenet,independent,dino+u2net_sum,vgg16,mean,90.0,0.119
imagenet,independent,dino+u2net_sum,vgg16,mean,95.0,0.042
imagenet,independent,dino+u2net_sum,vgg16,mean,100.0,0.002
imagenet,independent,dino+u2net_sum,vgg16,random_noise,0.0,0.818
imagenet,independent,dino+u2net_sum,vgg16,random_noise,5.0,0.789
imagenet,independent,dino+u2net_sum,vgg16,random_noise,10.0,0.756
imagenet,independent,dino+u2net_sum,vgg16,random_noise,15.0,0.733
imagenet,independent,dino+u2net_sum,vgg16,random_noise,20.0,0.714
imagenet,independent,dino+u2net_sum,vgg16,random_noise,25.0,0.686
imagenet,independent,dino+u2net_sum,vgg16,random_noise,30.0,0.666
imagenet,independent,dino+u2net_sum,vgg16,random_noise,35.0,0.648
imagenet,independent,dino+u2net_sum,vgg16,random_noise,40.0,0.641
imagenet,independent,dino+u2net_sum,vgg16,random_noise,45.0,0.616
imagenet,independent,dino+u2net_sum,vgg16,random_noise,50.0,0.606
imagenet,independent,dino+u2net_sum,vgg16,random_noise,55.0,0.568
imagenet,independent,dino+u2net_sum,vgg16,random_noise,60.0,0.535
imagenet,independent,dino+u2net_sum,vgg16,random_noise,65.0,0.509
imagenet,independent,dino+u2net_sum,vgg16,random_noise,70.0,0.459
imagenet,independent,dino+u2net_sum,vgg16,random_noise,75.0,0.392
imagenet,independent,dino+u2net_sum,vgg16,random_noise,80.0,0.302
imagenet,independent,dino+u2net_sum,vgg16,random_noise,85.0,0.195
imagenet,independent,dino+u2net_sum,vgg16,random_noise,90.0,0.11
imagenet,independent,dino+u2net_sum,vgg16,random_noise,95.0,0.04
imagenet,independent,dino+u2net_sum,vgg16,random_noise,100.0,0.001
imagenet,independent,dino+u2net_sum,vgg16,white,0.0,0.818
imagenet,independent,dino+u2net_sum,vgg16,white,5.0,0.756
imagenet,independent,dino+u2net_sum,vgg16,white,10.0,0.717
imagenet,independent,dino+u2net_sum,vgg16,white,15.0,0.692
imagenet,independent,dino+u2net_sum,vgg16,white,20.0,0.656
imagenet,independent,dino+u2net_sum,vgg16,white,25.0,0.617
imagenet,independent,dino+u2net_sum,vgg16,white,30.0,0.605
imagenet,independent,dino+u2net_sum,vgg16,white,35.0,0.574
imagenet,independent,dino+u2net_sum,vgg16,white,40.0,0.571
imagenet,independent,dino+u2net_sum,vgg16,white,45.0,0.541
imagenet,independent,dino+u2net_sum,vgg16,white,50.0,0.515
imagenet,independent,dino+u2net_sum,vgg16,white,55.0,0.51
imagenet,independent,dino+u2net_sum,vgg16,white,60.0,0.484
