image_id,explainer,judge_model,AUC,DROP,InflectionPoint_max_slope,InflectionPoint_threshold
image_00151,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00152,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00152,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00153,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00153,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00154,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00154,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00155,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00155,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00156,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00156,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00157,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00157,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00158,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00158,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00159,grad_cam,resnet50,0.325,1.0,5.0,10.0
image_00159,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00160,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00160,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00161,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00161,grad_cam,mobilenet_v2,0.5,0.0,25.0,50.0
image_00162,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00162,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00163,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00163,grad_cam,mobilenet_v2,0.4,0.0,0.0,5.0
image_00164,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00164,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00165,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00165,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00166,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00166,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00167,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00167,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00168,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00168,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00169,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00169,grad_cam,mobilenet_v2,0.25,0.0,50.0,75.0
image_00170,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00170,grad_cam,mobilenet_v2,0.025,1.0,0.0,5.0
image_00171,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00171,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00172,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00172,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00173,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00173,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00174,grad_cam,resnet50,0.0,0.0,0.0,75.0
image_00174,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00175,grad_cam,resnet50,0.025,1.0,0.0,5.0
image_00175,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00176,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00176,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00177,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00177,grad_cam,mobilenet_v2,0.125,-1.0,0.0,75.0
image_00178,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00178,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00179,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00179,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00180,grad_cam,resnet50,0.425,1.0,10.0,25.0
image_00180,grad_cam,mobilenet_v2,0.025,1.0,0.0,5.0
image_00181,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00181,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00182,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00182,grad_cam,mobilenet_v2,0.625,1.0,50.0,75.0
image_00183,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00183,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00184,grad_cam,resnet50,0.175,1.0,10.0,25.0
image_00184,grad_cam,mobilenet_v2,0.0,0.0,0.0,75.0
image_00185,grad_cam,resnet50,0.75,0.0,0.0,75.0
image_00185,grad_cam,mobilenet_v2,0.75,0.0,0.0,75.0
image_00186,grad_cam,resnet50,0.625,1.0,50.0,75.0
image_00186,grad_cam,mobilenet_v2,0.425,1.0,10.0,25.0
image_00187,grad_cam,resnet50,0.75,0.0,0.0,75.0
